,x[px],y[px],r[px]
870,83,190,1
871,83,190,1
872,83,190,1
873,83,190,1
874,83,190,1
875,83,190,1
876,83,190,1
877,83,190,1
878,83,190,1
879,83,190,1
880,83,190,1
881,83,190,1
882,83,190,1
883,83,190,1
884,83,190,1
885,83,190,1
886,83,190,1
887,83,190,1
888,83,190,1
889,83,190,1
890,83,190,1
891,83,190,1
892,83,190,1
893,83,190,1
894,83,190,1
895,83,190,1
896,83,190,1
897,83,190,1
898,83,190,1
899,83,190,1
900,83,190,1
901,85,190,2
902,296,190,236
903,286,162,247
904,288,162,245
905,290,163,243
906,289,163,244
907,291,163,242
908,292,163,241
909,292,163,240
910,295,163,238
911,296,162,237
912,296,162,236
913,296,162,236
914,296,162,236
915,297,162,235
916,297,162,235
917,110,162,31
918,110,162,31
919,110,162,31
920,109,162,31
921,109,162,31
922,110,162,31
923,83,190,1
924,83,190,1
925,83,190,1
926,83,190,1
927,83,190,1
928,83,190,1
929,83,190,1
930,83,190,1
931,84,162,58
932,84,162,58
933,84,163,58
934,84,163,58
935,84,162,58
936,84,162,58
937,72,162,32
938,69,162,32
939,59,162,32
940,83,190,1
941,83,190,1
942,83,190,1
943,83,190,1
944,83,162,32
945,83,162,32
946,83,162,32
947,83,162,32
948,83,190,1
949,83,190,1
950,83,190,1
951,83,190,1
952,83,190,1
953,83,190,1
954,83,190,1
955,83,190,1
956,83,190,1
957,83,190,1
958,83,190,1
959,83,190,1
960,83,190,1
961,83,190,1
962,83,190,1
963,83,190,1
964,83,190,1
965,83,190,1
966,83,190,1
967,83,190,1
968,57,190,29
969,57,190,29
970,57,190,29
971,57,190,29
972,83,190,1
973,83,190,1
974,83,190,1
975,83,190,1
976,57,190,30
977,42,190,46
978,42,162,47
979,43,161,47
980,43,184,58
981,43,161,48
982,44,185,58
983,44,184,58
984,45,184,58
985,45,184,58
986,45,184,58
987,46,184,58
988,46,184,58
989,47,184,58
990,47,185,57
991,47,185,57
992,47,185,57
993,47,185,57
994,47,185,57
995,47,185,57
996,47,185,57
997,47,185,57
998,63,185,57
999,63,185,57
1000,63,185,57
1001,63,185,57
1002,63,185,57
1003,63,184,58
1004,63,184,58
1005,63,184,58
1006,63,184,58
1007,63,184,58
1008,64,184,58
1009,64,184,58
1010,64,184,58
1011,64,184,58
1012,64,184,58
1013,64,184,58
1014,64,184,58
1015,64,184,58
1016,64,184,58
1017,64,184,58
1018,64,184,58
1019,63,184,58
1020,63,184,57
1021,63,184,57
1022,63,184,57
1023,63,184,57
1024,63,184,57
1025,63,184,57
1026,62,184,57
1027,62,184,57
1028,62,184,57
