X,Y
550.998,705.893
551.998,697.278
552.998,697.682
553.998,708.458
554.998,706.650
555.998,703.308
556.998,692.533
557.998,696.675
558.998,687.716
559.998,700.981
560.998,711.667
561.998,705.418
562.998,703.801
563.998,691.562
564.998,699.703
565.998,707.973
566.998,692.956
567.998,691.537
568.998,693.027
569.998,681.658
570.998,684.366
571.998,680.937
572.998,688.349
573.998,696.305
574.998,690.218
575.998,677.294
576.998,693.176
577.998,689.713
578.998,673.253
579.998,682.295
580.998,691.753
581.998,685.719
582.998,675.268
583.998,681.112
584.998,666.140
585.998,667.110
586.998,656.332
587.998,663.397
588.998,667.396
589.998,676.542
590.998,664.188
591.998,667.547
592.998,672.396
593.998,668.184
594.998,662.214
595.998,666.017
596.998,665.959
597.998,670.988
598.998,660.081
599.998,659.847
600.998,658.837
601.998,660.725
602.998,658.282
603.998,658.264
604.998,664.199
605.998,659.157
606.998,655.263
607.998,648.040
608.998,663.596
609.998,664.359
610.998,649.481
611.998,645.422
612.998,648.335
613.998,644.931
614.998,651.892
615.998,656.089
616.998,645.952
617.998,648.519
618.998,652.481
619.998,657.570
620.998,648.779
621.998,638.340
622.998,632.984
623.998,629.730
624.998,644.525
625.998,644.766
626.998,638.193
627.998,641.355
628.998,650.836
629.998,655.041
630.998,641.788
631.998,631.308
632.998,631.433
633.998,639.927
634.998,633.066
635.998,630.710
636.998,631.810
637.998,635.690
638.998,637.963
639.998,644.117
640.998,637.886
641.998,628.153
642.998,625.227
643.998,621.748
644.998,625.861
645.998,619.099
646.998,620.948
647.998,622.736
648.998,620.756
649.998,627.141
650.998,625.983
651.998,630.163
652.998,620.719
653.998,624.858
654.998,620.935
655.998,606.834
656.998,611.981
657.998,622.113
658.998,625.917
659.998,608.871
660.998,606.028
661.998,620.390
662.998,621.484
663.998,625.832
664.998,616.418
665.998,612.933
666.998,621.999
667.998,624.400
