# time[s], max intensity ch1[AU], max intensity ch2[AU], max intensity ch3[AU]
  31.68480,  -3.16957,  23.60786, 126.81099
  32.05920,   0.00000,  23.78519, 126.94262
  32.43360,  -3.97152,  24.89787, 126.41273
  32.80800,  -2.86944,  26.15518, 126.10996
  33.18240,  -4.70552,  27.09568, 125.42345
  33.55680,  -3.95439,  29.38548, 124.97368
  33.93120,  12.40481,  31.28676, 124.20489
  34.30560,  -6.54633,  34.21008, 123.40470
  34.68000,  -6.47455,  34.44672, 124.03888
  35.05440,  11.84642,  34.35287, 123.75549
  35.42880,  41.51018,  36.51395, 123.48799
  35.80320,   5.79230,  37.48974, 122.16146
  36.17760,   5.40854,  32.46913, 121.30626
  36.55200,   0.00000,  32.11378, 121.83666
  36.92640,   9.74947,  36.07981, 122.13046
  37.30080,1968.78130,  41.46160, 122.26465
  37.67520,   3.57236,  41.91610, 122.55736
  38.04960,   0.00000,  40.77733, 122.03030
  38.42400,  10.61663,  40.27693, 121.76255
  38.79840,   2.90645,  42.80963, 121.06589
  39.17280,   2.66438,  43.81174, 120.11992
  39.54720,   2.23629,  43.89819, 120.35962
  39.92160,   4.95401,  47.10937, 120.64506
  40.29600,   4.06954,  48.63298, 120.80481
  40.67040,   4.65373,  45.86173, 120.93528
  41.04480,   5.94678,  40.38344, 121.25068
  41.41920,   6.65875,  40.21787, 120.63542
  41.79360,   0.00000,  29.61310, 113.28395
  42.16800,   7.34885,  34.40623, 120.81938
  42.54240,   6.10950,  34.98936, 121.39412
  42.91680,   6.98340,  35.05631, 121.88374
  43.29120,   6.85902,  35.50539, 122.38462
  43.66560,   5.35620,  34.65988, 122.15957
  44.04000,   6.08482,  32.82097, 122.50806
  44.41440,   5.30569,  32.24900, 121.53888
  44.78880,   5.68976,  33.86019, 121.15749
  45.16320,   6.95641,  32.72708, 120.86532
  45.53760,   8.75792,  35.71583, 119.83535
  45.91200,   8.72923,  35.43879, 120.41022
  46.28640,   8.45453,  32.05887, 120.57458
  46.66080,   7.90453,  32.04177, 119.76991
  47.03520,   6.74840,  33.03783, 119.79622
  47.40960,   7.55900,  34.99590, 119.15294
  47.78400,   7.58749,  35.51908, 118.27888
  48.15840,   8.07082,  36.98601, 118.48002
  48.53280,   8.83144,  35.33150, 118.93147
  48.90720,   7.12665,  38.38667, 118.87316
  49.28160,   0.00000,  39.97751, 119.09542
  49.65600,   0.00000,  37.87110, 118.48837
  50.03040,   0.00000,  37.18570, 118.13080
  50.40480,   1.81944,  35.11016, 118.36444
  50.77920,   0.00000,  37.55012, 117.21026
  51.15360,   0.00000,  31.73131, 116.74015
  51.52800,   7.35457,  32.70184, 116.70525
  51.90240,   6.44327,  35.36305, 115.99764
  52.27680,   5.50162,  38.20396, 115.71211
  52.65120,   7.95484,  36.39849, 115.15710
  53.02560,   8.36870,  37.82879, 115.11006
  53.40000,   7.66833,  37.56984, 115.01073
  53.77440,   7.55155,  35.85046, 114.64845
  54.14880,   8.21651,  39.83281, 114.41372
  54.52320,   6.41561,  38.47756, 114.10646
  54.89760,   6.25098,  35.51289, 114.59032
  55.27200,   4.96638,  36.09167, 114.38177
  55.64640,   5.17686,  32.92791, 114.56082
  56.02080,   8.47500,  32.16153, 114.18068
  56.39520, -10.07497,  33.54480, 114.20756
  56.76960, -50.87202,  33.54568, 114.23977
  57.14400,   6.18323,  36.71440, 114.38423
  57.51840,   5.55111,  35.44132, 114.36395
  57.89280,  -4.60321,  35.88888, 116.76771
  58.26720,  -4.60231,  38.91501, 117.38902
  58.64160,  -4.24414,  40.35759, 118.30220
  59.01600,  21.16030,  39.78092, 118.32347
  59.39040,  23.14433,  39.16757, 118.22503
  59.76480,   5.16386,  37.33233, 118.87707
  60.13920,   5.39939,  35.46858, 115.89159
  60.51360,   8.51496,  32.92834, 116.03807
  60.88800,   0.00000,  38.57173, 117.65493
  61.26240,   0.00000,  41.27161, 115.37680
  61.63680,   0.00000,  37.45157, 115.17641
  62.01120,   0.00000,  38.26687, 114.52398
  62.38560,   0.00000,  37.09335, 113.19637
  62.76000,   0.00000,  39.36782, 112.56927
  63.13440,   0.00000,  39.79308, 112.57802
  63.50880,   0.00000,  43.90134, 112.28028
  63.88320,   0.00000,  41.66851, 112.69114
  64.25760,   0.00000,  40.82437, 112.65967
  64.63200,   0.00000,  37.82172, 112.96629
  65.00640,   7.10835,  36.57331, 112.86912
  65.38080,   4.38664,  38.30330, 112.91603
  65.75520,   6.73621,  39.21890, 113.30944
  66.12960,   7.20122,  39.67408, 113.01779
  66.50400,   6.51192,  37.76618, 113.16050
  66.87840,   6.16277,  38.74650, 112.86773
  67.25280,   7.61002,  38.52828, 112.79027
  67.62720,   6.32688,  38.69049, 112.68942
  68.00160,   5.59636,  43.12582, 112.32147
  68.37600,  16.32552,  34.42677, 102.94028
  68.75040,  33.31514,  38.49193, 102.67705
  69.12480,   8.47074,  36.54660, 102.44052
  69.49920,   7.35735,  40.50518, 111.51853
  69.87360,   6.20699,  41.70217, 111.60526
  70.24800,   6.87189,  40.57929, 111.69635
  70.62240,   6.14276,  41.64044, 111.87260
  70.99680,   6.25407,  42.23364, 112.09198
  71.37120,   7.27781,  43.89609, 112.13726
  71.74560,   8.23207,  41.62227, 112.03804
  72.12000,   7.21350,  40.80895, 112.03576
  72.49440,   6.66394,  41.09446, 111.95567
  72.86880,   5.43302,  43.02905, 111.12646
  73.24320,   6.44378,  42.54516, 111.37672
  73.61760,   6.10668,  42.33343, 110.86919
  73.99200,   7.18790,  44.28255, 110.66740
  74.36640,   7.29881,  42.27261, 110.32237
  74.74080,   7.95946,  41.57952, 110.18761
  75.11520,   9.02415,  37.51876, 110.00774
  75.48960,   8.82565,  40.03306, 110.64675
  75.86400,   8.52339,  39.70661, 110.43487
  76.23840,   9.10173,  38.51470, 112.52471
  76.61280,   9.45379,  37.50694, 112.41359
  76.98720,   9.16928,  38.38271, 111.94675
  77.36160,   9.67256,  37.56247, 112.04768
  77.73600,   8.00428,  36.28306, 112.20482
  78.11040,   7.68771,  36.39412, 112.52078
  78.48480,   7.35325,  36.47374, 111.63875
  78.85920,   6.72001,  42.52194, 111.09152
  79.23360,   6.47569,  41.37799, 110.71231
  79.60800,   6.50050,  42.28755, 111.22872
  79.98240,   6.20318,  45.32104, 110.98635
  80.35680,   6.99930,  46.25920, 111.46292
  80.73120,   5.81212,  42.62921, 110.93735
  81.10560,   6.14511,  44.16141, 111.03503
  81.48000,   6.16489,  42.23265, 110.77792
  81.85440,   5.66443,  44.27552, 109.87788
  82.22880,   6.08260,  41.70501, 110.07393
  82.60320,   5.96700,  38.94307, 109.94370
  82.97760,   5.55559,  37.33822, 109.51842
  83.35200,   4.65215,  37.13747, 108.99354
  83.72640,   4.25629,  34.85005, 109.04887
  84.10080,   0.00000,  33.36423, 108.85592
  84.47520,   4.32991,  34.39743, 109.18082
  84.84960,   0.00000,  36.89703, 108.97937
  85.22400,   4.26790,  39.57583, 109.74106
  85.59840,   6.30688,  38.53081, 109.57211
  85.97280,   7.02814,  41.27619, 109.46422
  86.34720,  24.80018,  44.79015, 109.30086
  86.72160,  51.07193,  46.47310, 109.43184
  87.09600,  12.53938,  50.63119, 109.28173
  87.47040,  48.06560,  51.76293, 108.72547
  87.84480,   9.29020,  53.06590, 108.39399
  88.21920,   9.21615,  55.08780, 107.72773
