# time[s], FWHM ch1[µm],FWHM ch2[µm],FWHM ch3[µm]
  72.86880,   0.75659,   0.68133,   0.50476
  73.24320,   0.81409,   0.68133,   0.50466
  73.61760,   0.81409,   0.68699,   0.50457
  73.99200,   0.81409,   0.69704,   0.50453
  74.36640,   0.81409,   0.69704,   0.50453
  74.74080,   0.81409,   0.69704,   0.50438
  75.11520,   0.75659,   0.69704,   0.50352
  75.48960,   0.75659,   0.69704,   0.50322
  75.86400,   0.75659,   0.69704,   0.50232
  76.23840,   0.75659,   0.69704,   0.50231
  76.61280,   0.75659,   0.69704,   0.50172
  76.98720,   0.75659,   0.69143,   0.50172
  77.36160,   0.75659,   0.68699,   0.50170
  77.73600,   0.75659,   0.68699,   0.50157
  78.11040,   0.74635,   0.68699,   0.50157
  78.48480,   0.67153,   0.68699,   0.50170
  78.85920,   0.64600,   0.68699,   0.50172
  79.23360,   0.64316,   0.66517,   0.50172
  79.60800,   0.63922,   0.66108,   0.50170
  79.98240,   0.63833,   0.65807,   0.50170
  80.35680,   0.61619,   0.65657,   0.50170
  80.73120,   0.60718,   0.65657,   0.50170
  81.10560,   0.59882,   0.65657,   0.50170
  81.48000,   0.59510,   0.65204,   0.50170
  81.85440,   0.57302,   0.64713,   0.50170
  82.22880,   0.55900,   0.64683,   0.50170
  82.60320,   0.55900,   0.64430,   0.50170
  82.97760,   0.55900,   0.63987,   0.50170
  83.35200,   0.55900,   0.63909,   0.50170
  83.72640,   0.55900,   0.63635,   0.50170
  84.10080,   0.55900,   0.63025,   0.50170
  84.47520,   0.55900,   0.63025,   0.50170
  84.84960,   0.57302,   0.63025,   0.50170
  85.22400,   0.57302,   0.63635,   0.50170
  85.59840,   0.57302,   0.63909,   0.50170
  85.97280,   0.55900,   0.63909,   0.50170
  86.34720,   0.55753,   0.63909,   0.50170
  86.72160,   0.55753,   0.63635,   0.50170
  87.09600,   0.55753,   0.61943,   0.50170
  87.47040,   0.52425,   0.59894,   0.50170
  87.84480,   0.50894,   0.59550,   0.50170
  88.21920,   0.50859,   0.59495,   0.50170
  88.59360,   0.47149,   0.59550,   0.50170
  88.96800,   0.45264,   0.59550,   0.50170
  89.34240,   0.41747,   0.59550,   0.50172
  89.71680,   0.40517,   0.59550,   0.50181
  90.09120,   0.39822,   0.59894,   0.50231
  90.46560,   0.36935,   0.59894,   0.50246
  90.84000,   0.36935,   0.61943,   0.50254
  91.21440,   0.36935,   0.63987,   0.50261
  91.58880,   0.36570,   0.64006,   0.50279
  91.96320,   0.36570,   0.64006,   0.50315
  92.33760,   0.36570,   0.64006,   0.50352
  92.71200,   0.36570,   0.63987,   0.50315
  93.08640,   0.36570,   0.61943,   0.50294
  93.46080,   0.36570,   0.59894,   0.50294
  93.83520,   0.36570,   0.59550,   0.50294
  94.20960,   0.36241,   0.59495,   0.50315
  94.58400,   0.36241,   0.59366,   0.50383
  94.95840,   0.35522,   0.59259,   0.50404
  95.33280,   0.35522,   0.57894,   0.50420
  95.70720,   0.35522,   0.57728,   0.50420
  96.08160,   0.36241,   0.57557,   0.50504
  96.45600,   0.36570,   0.57557,   0.50538
  96.83040,   0.36570,   0.57557,   0.50538
  97.20480,   0.36570,   0.57557,   0.50538
  97.57920,   0.36570,   0.57557,   0.50538
  97.95360,   0.36570,   0.57557,   0.50538
  98.32800,   0.36241,   0.57557,   0.50538
  98.70240,   0.31993,   0.57557,   0.50538
  99.07680,   0.31624,   0.57557,   0.50538
  99.45120,   0.30724,   0.57557,   0.50538
  99.82560,   0.30614,   0.57557,   0.50504
 100.20000,   0.28354,   0.57557,   0.50420
 100.57440,   0.27540,   0.57557,   0.50294
 100.94880,   0.27540,   0.56834,   0.50254
 101.32320,   0.26385,   0.56834,   0.50251
 101.69760,   0.24995,   0.56688,   0.50181
 102.07200,   0.22551,   0.56503,   0.50018
 102.44640,   0.21654,   0.56493,   0.49985
 102.82080,   0.16726,   0.56414,   0.49899
 103.19520,   0.15773,   0.56110,   0.49821
 103.56960,   0.08324,   0.55538,   0.49817
 103.94400,   0.00000,   0.54835,   0.49757
 104.31840,   0.00000,   0.54433,   0.49555
 104.69280,   0.00000,   0.54428,   0.49545
 105.06720,   0.00000,   0.53683,   0.49545
 105.44160,   0.00000,   0.46164,   0.49545
 105.81600,   0.00000,   0.46164,   0.49545
 106.19040,   0.00000,   0.00000,   0.00000
 106.56480,   0.00000,   0.00000,   0.00000
 106.93920,   0.00000,   0.00000,   0.00000
 107.31360,   0.00000,   0.00000,   0.00000
 107.68800,   0.00000,   0.00000,   0.00000
 108.06240,   0.00000,   0.00000,   0.00000
 108.43680,   0.00000,   0.00000,   0.00000
 108.81120,   0.00000,   0.00000,   0.00000
 109.18560,   0.00000,   0.00000,   0.00000
 109.56000,   0.00000,   0.00000,   0.00000
 109.93440,   0.00000,   0.00000,   0.00000
 110.30880,   0.00000,   0.00000,   0.00000
 110.68320,   0.00000,   0.00000,   0.00000
 111.05760,   0.00000,   0.00000,   0.00000
 111.43200,   0.00000,   0.00000,   0.00000
 111.80640,   0.00000,   0.00000,   0.00000
 112.18080,   0.00000,   0.00000,   0.00000
 112.55520,   0.00000,   0.00000,   0.00000
 112.92960,   0.00000,   0.00000,   0.00000
 113.30400,   0.00000,   0.00000,   0.00000
 113.67840,   0.00000,   0.00000,   0.00000
 114.05280,   0.00000,   0.00000,   0.00000
 114.42720,   0.00000,   0.00000,   0.00000
 114.80160,   0.00000,   0.00000,   0.00000
 115.17600,   0.00000,   0.00000,   0.00000
 115.55040,   0.00000,   0.00000,   0.00000
 115.92480,   0.00000,   0.00000,   0.00000
 116.29920,   0.00000,   0.00000,   0.00000
 116.67360,   0.00000,   0.00000,   0.00000
 117.04800,   0.00000,   0.00000,   0.00000
 117.42240,   0.00000,   0.00000,   0.00000
 117.79680,   0.00000,   0.00000,   0.00000
 118.17120,   0.00000,   0.00000,   0.00000
 118.54560,   0.00000,   0.00000,   0.00000
 118.92000,   0.00000,   0.00000,   0.00000
 119.29440,   0.00000,   0.00000,   0.00000
 119.66880,   0.00000,   0.00000,   0.00000
 120.04320,   0.00000,   0.00000,   0.00000
 120.41760,   0.00000,   0.00000,   0.00000
 120.79200,   0.00000,   0.00000,   0.00000
 121.16640,   0.00000,   0.00000,   0.00000
 121.54080,   0.00000,   0.00000,   0.00000
 121.91520,   0.00000,   0.00000,   0.00000
 122.28960,   0.00000,   0.00000,   0.00000
 122.66400,   0.00000,   0.00000,   0.00000
 123.03840,   0.00000,   0.00000,   0.00000
 123.41280,   0.00000,   0.00000,   0.00000
 123.78720,   0.00000,   0.00000,   0.00000
 124.16160,   0.00000,   0.00000,   0.00000
 124.53600,   0.00000,   0.00000,   0.00000
 124.91040,   0.00000,   0.00000,   0.00000
 125.28480,   0.00000,   0.00000,   0.00000
